task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	1f/9eaabe	16844	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-27 15:50:23.041	1.7s	0ms	71.3%	9.1 MB	14.7 MB	684.7 KB	749 B
11	cf/177aa1	16972	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-27 15:50:24.921	10.6s	9s	278.9%	596.5 MB	3.8 GB	34.5 MB	3.8 MB
13	48/2bb08e	17098	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-27 15:50:35.504	10.1s	8s	270.2%	523.9 MB	3.8 GB	33.2 MB	3.9 MB
14	7d/4d85e1	17211	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-27 15:50:45.573	8.9s	6s	282.9%	546.7 MB	3.8 GB	37.6 MB	4 MB
8	e8/82385f	17282	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-27 15:50:54.489	14.7s	12s	236.3%	757.1 MB	3.8 GB	73.3 MB	3.9 MB
10	15/042fa7	17352	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-27 15:51:09.247	9s	6s	271.6%	453.8 MB	3.8 GB	33.3 MB	3.6 MB
15	dd/075185	17433	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-27 15:51:18.311	11.9s	10s	213.3%	1.5 GB	2 GB	38.9 MB	9.1 MB
9	d7/01ff30	17496	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	ABORTED	-	2023-10-27 15:51:30.221	-	-	-	-	-	-	-
