task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	ba/20863d	4097	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-27 13:47:01.023	1.8s	0ms	103.5%	11.1 MB	16.3 MB	684.7 KB	747 B
12	69/888187	4233	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-27 13:47:03.192	7.9s	6s	208.4%	1.3 GB	1.7 GB	36.7 MB	7.5 MB
14	31/b98392	4331	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-27 13:47:11.152	11.3s	9s	287.7%	470.8 MB	3.8 GB	37.6 MB	4 MB
15	1e/aa72b6	4470	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-27 13:47:22.459	14.7s	13s	254.1%	1.5 GB	2.1 GB	38.9 MB	9.1 MB
11	6a/05e620	4549	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-27 13:47:37.213	10.1s	7s	254.2%	817 MB	3.9 GB	34.4 MB	3.8 MB
16	ca/d23ad0	4640	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-27 13:47:47.371	15.4s	14s	200.4%	1.3 GB	1.8 GB	36.5 MB	6.4 MB
13	94/59b775	4705	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-27 13:48:02.795	11.2s	9s	280.2%	825.4 MB	3.8 GB	33.3 MB	3.9 MB
8	50/dd0275	4792	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	ABORTED	-	2023-10-27 13:48:14.036	-	-	-	-	-	-	-
