task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
47	5d/549acc	5265	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2023-10-27 10:55:12.915	1.2s	0ms	128.0%	3.1 MB	5.4 MB	110.2 KB	4.9 KB
48	3a/c00a05	5371	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2023-10-27 10:55:14.121	1.1s	0ms	103.2%	3 MB	5.4 MB	110.2 KB	4.9 KB
49	9f/9991d0	5452	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2023-10-27 10:55:15.209	1.5s	1s	69.6%	3 MB	5.4 MB	110.2 KB	4.9 KB
38	10/072f59	5523	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2023-10-27 10:55:16.719	5.4s	4s	123.0%	7.8 MB	220.9 MB	32.5 MB	99 KB
40	b4/3e226c	5611	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2023-10-27 10:55:22.141	1.4s	1s	130.9%	7.4 MB	222.3 MB	7.5 MB	94.2 KB
41	cc/73ab2e	5685	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2023-10-27 10:55:23.568	1.4s	0ms	130.3%	7.7 MB	222.3 MB	5.2 MB	138.8 KB
50	d5/fc440e	5776	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2023-10-27 10:55:24.972	1.9s	1s	124.3%	7.6 MB	222.3 MB	7.3 MB	104.4 KB
44	df/14a5cd	5858	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2023-10-27 10:55:26.933	1.7s	1s	119.9%	7.6 MB	222.3 MB	4.7 MB	104.7 KB
51	b7/cd3e9a	5942	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5181310)	COMPLETED	0	2023-10-27 10:55:28.635	12.6s	11s	99.3%	28.6 MB	34.6 MB	32.5 MB	32.8 MB
52	e7/f20474	6032	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5405022)	COMPLETED	0	2023-10-27 10:55:41.230	5s	4s	98.4%	10.9 MB	17 MB	7.4 MB	7.4 MB
53	fe/92da9e	6105	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (SRR13500958)	COMPLETED	0	2023-10-27 10:55:46.247	2.5s	2s	98.9%	9.6 MB	15.6 MB	5.2 MB	5.1 MB
54	8f/9ebfc0	6173	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5743893)	COMPLETED	0	2023-10-27 10:55:48.753	3s	2s	98.7%	9.8 MB	15.9 MB	4.7 MB	4.6 MB
55	af/1fb73d	6248	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5556343)	COMPLETED	0	2023-10-27 10:55:51.774	4.1s	3s	99.8%	11.6 MB	17.7 MB	7.3 MB	7.3 MB
56	14/15c0be	6319	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-27 10:55:55.912	6s	5s	364.9%	733.8 MB	3.8 GB	32.9 MB	32.8 MB
57	74/5384a7	6391	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-27 10:56:01.946	1.8s	1s	343.8%	25.2 MB	3.4 GB	7.5 MB	7.4 MB
58	74/3bee72	6483	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-27 10:56:03.798	1.6s	0ms	341.4%	26.2 MB	3.4 GB	5.2 MB	5.1 MB
59	1f/2090b0	6555	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-27 10:56:05.413	2.3s	1s	333.6%	25.3 MB	3.4 GB	4.7 MB	4.6 MB
60	af/956c56	6633	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-27 10:56:07.705	2.4s	1s	333.6%	154.6 MB	3.8 GB	7.4 MB	7.2 MB
62	b7/a7ad9a	6716	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2023-10-27 10:56:10.153	2.2s	1s	135.2%	6.3 MB	220.9 MB	32.9 MB	5 KB
61	4e/b649c4	6785	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5181310)	COMPLETED	0	2023-10-27 10:56:12.328	54.4s	54s	167.5%	557.3 MB	821.8 MB	558.7 MB	525.7 MB
63	d6/d41925	6882	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2023-10-27 10:57:06.718	1.9s	1s	133.3%	6.5 MB	220.9 MB	7.5 MB	5 KB
64	a6/ac14e1	6958	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5405022)	COMPLETED	0	2023-10-27 10:57:08.593	11.6s	10s	119.4%	79.9 MB	119.3 MB	59.9 MB	52.3 MB
66	d0/593dba	7038	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2023-10-27 10:57:20.255	1.5s	1s	126.5%	6.4 MB	220.9 MB	5.2 MB	5 KB
65	cf/458e3b	7105	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SRR13500958)	COMPLETED	0	2023-10-27 10:57:21.722	11.5s	10s	117.2%	79.1 MB	117.9 MB	55.7 MB	50.4 MB
67	ce/a68ad7	7192	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2023-10-27 10:57:33.192	1.2s	0ms	122.8%	6.5 MB	220.9 MB	4.7 MB	5 KB
68	13/701bc8	7265	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5743893)	COMPLETED	0	2023-10-27 10:57:34.451	11.4s	10s	120.0%	83.9 MB	124.6 MB	71.9 MB	67.2 MB
70	98/2efc13	7341	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2023-10-27 10:57:45.840	1.3s	0ms	123.4%	6.5 MB	220.9 MB	7.3 MB	5 KB
69	82/a57c92	7418	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5556343)	COMPLETED	0	2023-10-27 10:57:47.201	15.7s	14s	129.6%	152 MB	223 MB	113.3 MB	105.9 MB
71	73/91a9f5	7548	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5181310)	COMPLETED	0	2023-10-27 10:58:02.912	23.1s	20s	175.9%	287.3 MB	6.6 GB	86 MB	857.7 KB
72	6f/69450b	7620	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5181310)	COMPLETED	0	2023-10-27 10:58:25.978	2.5s	1s	112.7%	75.5 MB	1.1 GB	10.5 MB	6.1 KB
73	49/41f817	7710	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5405022)	COMPLETED	0	2023-10-27 10:58:28.451	9.7s	7s	265.7%	306.1 MB	7.7 GB	60.6 MB	843.9 KB
74	36/308eb3	7800	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5405022)	COMPLETED	0	2023-10-27 10:58:38.153	1.9s	1s	193.5%	9.9 MB	15.3 MB	10.5 MB	6.2 KB
75	d3/57f5a3	7871	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SRR13500958)	COMPLETED	0	2023-10-27 10:58:40.096	9.2s	7s	277.7%	283.5 MB	7.7 GB	58.4 MB	886.9 KB
76	f2/7d926f	7945	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (SRR13500958)	COMPLETED	0	2023-10-27 10:58:49.332	1.6s	1s	218.0%	10.6 MB	16 MB	10.5 MB	4.4 KB
77	af/32c9c4	8025	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5743893)	COMPLETED	0	2023-10-27 10:58:50.951	10.9s	9s	273.7%	315.7 MB	7.7 GB	57.8 MB	852.6 KB
78	e8/baa1d8	8095	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5743893)	COMPLETED	0	2023-10-27 10:59:01.906	2.6s	1s	148.8%	75.5 MB	1.1 GB	10.5 MB	5.2 KB
81	c0/660432	8181	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2023-10-27 10:59:04.560	2.2s	1s	136.2%	6.5 MB	220.9 MB	32.9 MB	5.4 KB
84	fb/510153	8255	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2023-10-27 10:59:06.817	1.2s	0ms	122.6%	6.5 MB	220.9 MB	5.2 MB	5.4 KB
80	04/8e44e6	8337	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2023-10-27 10:59:08.058	1.1s	0ms	118.5%	3 MB	5.4 MB	110.2 KB	4.9 KB
83	e1/dc44ea	8418	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2023-10-27 10:59:09.213	1.2s	0ms	127.2%	6.5 MB	220.9 MB	7.5 MB	5.4 KB
82	0c/e1f069	8500	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2023-10-27 10:59:10.387	1.3s	1s	109.1%	3.1 MB	5.4 MB	110.2 KB	4.9 KB
86	c6/7d543d	8579	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2023-10-27 10:59:11.675	1.4s	0ms	126.3%	6.5 MB	220.9 MB	4.7 MB	5.4 KB
87	78/57f8ca	8651	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2023-10-27 10:59:13.063	1.4s	0ms	123.1%	6.5 MB	220.9 MB	7.3 MB	5.4 KB
88	a0/3ee3fa	8740	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2023-10-27 10:59:14.504	1s	0ms	125.0%	3 MB	5.4 MB	110.2 KB	4.9 KB
92	83/1527c0	8817	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2023-10-27 10:59:15.532	985ms	0ms	114.3%	3 MB	5.4 MB	110.2 KB	4.9 KB
90	e3/055107	8895	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2023-10-27 10:59:16.558	1.2s	0ms	123.1%	3.1 MB	5.4 MB	110.2 KB	4.9 KB
79	3e/f9fa0e	8974	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5556343)	COMPLETED	0	2023-10-27 10:59:17.795	11.5s	9s	243.1%	318.2 MB	7.7 GB	60.5 MB	854.4 KB
