task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	5e/73bd9a	1803	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-27 10:33:23.440	1.5s	0ms	53.3%	8.9 MB	14.3 MB	684.6 KB	757 B
1	4a/9161f1	1872	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-27 10:33:24.912	1.3s	0ms	40.0%	3 MB	5.4 MB	135.6 KB	4.9 KB
3	48/34d7af	1992	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-27 10:33:26.176	1.4s	1s	98.7%	6.6 MB	13.7 MB	1.8 MB	8.3 MB
2	5f/fe406e	2104	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-10-27 10:33:27.619	1.1s	17ms	59.3%	0	0	91.1 KB	5 KB
6	1d/a2b983	2192	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-27 10:33:28.742	10.6s	8s	255.4%	461.9 MB	3.8 GB	33.3 MB	3.6 MB
7	85/802db0	2279	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2023-10-27 10:33:39.335	30.4s	29s	432.8%	2.1 GB	2.6 GB	80.4 MB	40 MB
10	36/629a06	2341	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-27 10:34:09.745	16.4s	14s	165.8%	277.4 MB	1.1 GB	36.7 MB	7.5 MB
5	14/e573da	2440	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-27 10:34:26.153	21.3s	19s	236.5%	735.9 MB	3.8 GB	73.3 MB	3.9 MB
8	38/99c159	2528	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-27 10:34:47.440	9.9s	7s	251.0%	817.3 MB	3.9 GB	34.4 MB	3.8 MB
9	2f/5d5afe	2601	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-27 10:34:57.335	9.9s	7s	259.3%	530.2 MB	3.8 GB	33.3 MB	3.9 MB
14	50/a1c415	2677	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2023-10-27 10:35:07.294	13.8s	12s	168.7%	1.1 GB	1.5 GB	44.8 MB	13.1 MB
12	36/db935f	2740	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-27 10:35:21.085	9.8s	8s	271.9%	339.8 MB	3.8 GB	37.6 MB	4 MB
13	cb/8f29cc	2838	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-27 10:35:30.895	1m 13s	16s	234.1%	1.4 GB	1.9 GB	36.5 MB	6.4 MB
11	17/86de3f	2904	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-27 10:36:43.982	14.2s	11s	177.6%	1.4 GB	1.9 GB	38.9 MB	9.1 MB
15	85/998f19	2995	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-27 10:36:58.209	3s	2s	67.5%	66.4 MB	6.8 GB	17.9 MB	16.8 KB
16	f5/1dce24	3103	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2023-10-27 10:37:01.173	22.6s	20s	257.1%	745.4 MB	3.8 GB	60.4 MB	3.8 MB
17	3f/198ba1	3192	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2023-10-27 10:37:24.017	11m 59s	11m 57s	402.8%	117.3 MB	951.3 MB	820.8 MB	807.8 MB
18	c6/ec09a6	3258	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2023-10-27 10:49:22.952	9.2s	7s	288.3%	331.6 MB	3.8 GB	27.8 MB	3.7 MB
19	59/718fca	3345	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2023-10-27 10:49:32.187	35.2s	34s	405.7%	97 MB	954.9 MB	92.7 MB	84.5 MB
20	56/747275	3415	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2023-10-27 10:50:07.353	8.9s	6s	249.8%	378.6 MB	3.8 GB	33.5 MB	3.9 MB
21	75/d74960	3489	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2023-10-27 10:50:16.312	1m 5s	1m 5s	401.0%	137.4 MB	983 MB	92.5 MB	83 MB
22	8c/5f0bb8	3558	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2023-10-27 10:51:21.460	7.6s	5s	267.0%	502.1 MB	3.8 GB	26.8 MB	3.8 MB
23	5e/d33fe6	3634	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2023-10-27 10:51:29.066	1m 7s	1m 6s	401.1%	116.1 MB	965.9 MB	116.8 MB	107.1 MB
24	2f/1eec9d	3710	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2023-10-27 10:52:36.367	7.5s	6s	263.8%	808.5 MB	3.8 GB	29.4 MB	3.8 MB
25	0f/796b3a	3785	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2023-10-27 10:52:43.893	1m 58s	1m 57s	402.3%	116.2 MB	967.1 MB	173.2 MB	163.5 MB
26	77/37446b	3860	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-27 10:54:41.686	6.2s	5s	358.3%	730.8 MB	3.8 GB	35.5 MB	32.4 MB
27	ad/145d58	3938	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-27 10:54:47.932	2s	1s	355.7%	29 MB	3.4 GB	7.8 MB	7.4 MB
28	16/1d2e29	4019	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-27 10:54:49.935	2s	1s	344.0%	21.3 MB	3.4 GB	12.1 MB	5.1 MB
29	d1/941cc3	4094	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-27 10:54:51.925	2s	1s	346.1%	23.5 MB	3.4 GB	5.1 MB	4.6 MB
30	b5/d626d6	4168	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-27 10:54:53.910	2.3s	1s	345.3%	152.9 MB	3.7 GB	7.9 MB	7.2 MB
31	c8/4be210	4241	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2023-10-27 10:54:56.229	2.4s	2s	137.8%	6.5 MB	220.9 MB	32.5 MB	5 KB
32	46/e5f35e	4321	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2023-10-27 10:54:58.684	1.1s	0ms	123.1%	6.6 MB	220.9 MB	7.5 MB	5 KB
33	3e/63cbe3	4394	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2023-10-27 10:54:59.830	1.1s	0ms	115.1%	6.5 MB	220.9 MB	5.2 MB	5 KB
34	ab/66f8da	4461	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2023-10-27 10:55:00.960	1.2s	0ms	124.8%	6.5 MB	220.9 MB	4.7 MB	5 KB
35	c8/513a36	4536	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2023-10-27 10:55:02.193	1.3s	0ms	126.5%	6.5 MB	220.9 MB	7.3 MB	5 KB
36	b5/ae7a57	4631	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2023-10-27 10:55:03.502	2.3s	1s	134.9%	6.6 MB	220.9 MB	32.5 MB	5.4 KB
37	2a/32706a	4727	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2023-10-27 10:55:05.814	1.3s	0ms	126.3%	6.5 MB	220.9 MB	7.5 MB	5.4 KB
39	ff/071d84	4820	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2023-10-27 10:55:07.091	1.1s	0ms	123.6%	6.4 MB	220.9 MB	5.2 MB	5.4 KB
43	cd/5444ac	4918	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2023-10-27 10:55:08.250	1.1s	0ms	63.2%	3.1 MB	5.4 MB	110.2 KB	4.9 KB
42	51/a65591	5013	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2023-10-27 10:55:09.387	1.2s	1s	120.9%	6.6 MB	220.9 MB	4.7 MB	5.4 KB
46	6d/ba3357	5089	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2023-10-27 10:55:10.548	1.1s	0ms	128.0%	3 MB	5.4 MB	110.2 KB	4.9 KB
45	04/b2a478	5184	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2023-10-27 10:55:11.626	1.3s	0ms	132.7%	6.5 MB	220.9 MB	7.3 MB	5.4 KB
